endTime,artistName,trackName,msPlayed
2021-02-13 00:00,Daryl Hall & John Oates,Rich Girl,144333
2021-02-13 00:11,Fleetwood Mac,Dreams - 2004 Remaster,257800
2021-02-13 00:14,Bill Withers,Lovely Day,208158
2021-02-13 00:18,Rusted Root,Send Me on My Way,263333
2021-02-13 00:22,Edward Sharpe & The Magnetic Zeros,Home - 2019 - Remaster,204025
2021-02-13 00:26,Grouplove,Tongue Tied,218013
2021-02-13 00:29,Jack Johnson,Upside Down,208653
2021-02-13 00:33,Jack Johnson,Banana Pancakes,191906
2021-02-13 01:53,Corinne Bailey Rae,Put Your Records On,215360
2021-02-13 01:54,Looking Glass,Brandy (You're a Fine Girl),37114
2021-02-13 01:54,The Jackson 5,ABC,46927
2021-02-13 01:58,Supergrass,Alright,180880
2021-02-13 02:00,Stevie Wonder,Sir Duke,122151
2021-02-13 02:04,Kanye West,I Wonder,243440
2021-02-13 02:08,Guns N' Roses,Sweet Child O' Mine,3738
2021-02-13 02:08,Queen,Under Pressure - Remastered 2011,214909
2021-02-13 02:12,The Backseat Lovers,Kilby Girl,282205
2021-02-13 02:16,Skrillex,Bangarang (feat. Sirah),12876
2021-02-13 02:16,Zeds Dead,Frontlines,214733
2021-02-13 06:12,RUNAGROUND,Chase You Down,228780
2021-02-13 06:16,Jack Ü,To Ü (feat. AlunaGeorge),237000
2021-02-13 09:12,Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",9524
2021-02-13 09:12,Two Door Cinema Club,What You Know,157489
2021-02-13 09:16,Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",203958
2021-02-13 09:19,Orion Sun,Antidote,169822
2021-02-13 09:20,JID,Ballads (with Conway The Machine),7198
2021-02-13 09:20,Kanye West,I Wonder,88550
2021-02-13 09:21,Still Woozy,Cooks,12933
2021-02-13 09:21,D'Angelo,Send It On,5804
2021-02-13 09:21,Lou Phelps,MUST BE,1160
2021-02-13 09:21,Thundercat,Fair Chance,19365
2021-02-13 09:21,Kota the Friend,Bagels,2229
2021-02-13 09:21,Lou Phelps,Come Inside (Kaytranada Edit),1811
2021-02-13 09:25,Kanye West,I Wonder,243440
2021-02-13 09:29,Childish Gambino,3005,234215
2021-02-13 09:33,Wiz Khalifa,The Thrill,234333
2021-02-13 09:37,Sade,War of the Hearts,210956
2021-02-13 09:38,Childish Gambino,Sober,252026
2021-02-13 09:41,BØRNS,Electric Love,218106
2021-02-13 09:46,Kanye West,Ghost Town,268041
2021-02-13 09:49,Tame Impala,Feels Like We Only Go Backwards,186409
2021-02-13 20:24,Tame Impala,Feels Like We Only Go Backwards,6386
2021-02-13 20:26,"Tyler, The Creator",BEST INTEREST,127921
2021-02-13 20:29,Dominic Fike,3 Nights,177666
2021-02-13 20:32,Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",214692
2021-02-13 20:35,Don Toliver,HAD ENOUGH (feat. Quavo & Offset),157133
