endTime,artistName,trackName,msPlayed
2022-02-10 01:24,Pesukone,Ropa Suja,1369
2022-02-10 01:24,Munatix,You Are out of My League - Pesukone Remix,4388
2022-02-10 01:24,Pesukone,Floor Control,6130
2022-02-10 01:24,Pesukone,Behind Blue Eyes,928
2022-02-10 01:24,Pesukone,Far Away,696
2022-02-10 02:37,James Bay,Let It Go,4630
2022-02-10 02:40,Natasha Bedingfield,Pocketful of Sunshine,202906
2022-02-10 02:44,Nick Jonas,Chains,203106
2022-02-10 02:47,Shawn Mendes,Treat You Better,187973
2022-02-10 02:50,bodyimage,Who Cares?,155293
2022-02-10 02:52,Icona Pop,I Love It (feat. Charli XCX),157152
2022-02-10 02:56,Nico & Vinz,Am I Wrong,247520
2022-02-10 02:58,Tori Kelly,Hallelujah,120247
2022-02-10 04:17,The Script,Hall of Fame (feat. will.i.am),202533
2022-02-10 04:21,The Pussycat Dolls,Don't Cha,272080
2022-02-10 04:30,Drip Overkill,Stay,157455
2022-02-10 04:31,Alicia Keys,If I Ain't Got You,107126
2022-02-10 04:32,Alicia Keys,If I Ain't Got You,95364
2022-02-10 04:34,Rihanna,Kiss It Better,86540
2022-02-10 04:35,Bek Allenson,Twister,59861
2022-02-10 04:35,Beyoncé,1+1,3668
2022-02-10 04:39,Alicia Keys,Girl on Fire,224920
2022-02-10 06:03,Far East Movement,Rocketeer,119173
2022-02-10 06:04,Neon Trees,Animal,2739
2022-02-10 06:04,MKTO,Classic,18575
2022-02-10 06:07,Sean Kingston,Beautiful Girls,225373
2022-02-10 06:10,Hot Chelle Rae,Tonight Tonight,180691
2022-02-10 15:10,Bonobo,Black Sands,45096
2022-02-10 15:46,Kelly Clarkson,Since U Been Gone,44188
2022-02-10 15:47,Still Woozy,Cooks,3599
2022-02-10 15:47,Avicii,Talk To Myself,10657
2022-02-10 15:47,Electric Guest,This Head I Hold,8452
2022-02-10 15:47,Duckwrth,Super Bounce,2113
2022-02-10 15:47,The Police,Spirits In The Material World - Remastered 2003,3599
2022-02-10 15:47,Rizzle Kicks,Down With The Trumpets,43421
2022-02-10 15:48,J. Cole,ATM,2647
2022-02-10 15:48,Jake Miller,First Flight Home,7407
2022-02-10 15:48,Jaden,The Passion,2600
2022-02-10 15:51,Urban Cone,Old School,183987
2022-02-10 15:55,Rihanna,Take A Bow,9120
2022-02-10 15:55,Matt and Kim,Daylight,3583
2022-02-10 15:55,YG,Gangsta,144599
2022-02-10 15:56,Cosmo Sheldrake,Birthday Suit,80406
2022-02-10 16:01,Rick Ross,Aston Martin Music,270626
2022-02-10 16:04,Backstreet Boys,Don't Go Breaking My Heart,215724
2022-02-10 16:07,Ed Sheeran,New Man,189280
2022-02-10 16:12,The Internet,Wanna Be,267400
2022-02-10 16:14,Vince Staples,Relay,137813
2022-02-10 16:18,Robert Gass,A Good Friend,238506
2022-02-10 16:20,Backstreet Boys,Chances,172626
2022-02-10 16:25,Amber Mark,Lose My Cool - Franc Moody Remix,257301
2022-02-10 16:27,Supertramp,Breakfast In America - 2010 Remastered,159346
2022-02-10 16:29,Paul McCartney,The Kiss Of Venus (Dominic Fike),143530
2022-02-10 16:33,Alabama Shakes,Don't Wanna Fight,232546
2022-02-10 16:37,The Temper Trap,Sweet Disposition,230800
2022-02-10 16:41,Smino,MF GROOVE (with Ravyn Lenae),246960
2022-02-10 16:45,Alabama Shakes,Over My Head,231131
2022-02-10 16:48,Gorillaz,Idaho,222200
2022-02-10 16:51,MadeinTYO,Addicted To Power,150973
2022-02-10 16:54,Smino,FENTY SEX (with Dreezy),214977
2022-02-10 16:59,Dire Straits,So Far Away,312133
2022-02-10 17:03,Big Sean,Jump Out The Window,213693
2022-02-10 17:08,"Tyler, The Creator",SMUCKERS (feat. Lil Wayne & Kanye West),334363
2022-02-10 17:11,Smino,SUMMER SALT (with Bari),147698
2022-02-10 17:14,Russ,3:15 (Breathe),184000
2022-02-10 17:17,Chicago,What Can I Say - 2006 Remaster,228573
2022-02-10 17:19,"Tyler, The Creator",Whoville,73866
2022-02-10 17:21,Felly,I Stayed Home All Day,125192
2022-02-10 17:24,DJ Snake,Let Me Love You,205946
2022-02-10 17:27,Kendrick Lamar,i,211352
2022-02-10 17:28,Smino,KOVERT,18858
2022-02-10 17:30,Smino,Z4L (with Bari & Jay2),162590
2022-02-10 17:32,Daniel Caesar,A Cappella,88916
2022-02-10 17:36,Trevor Hall,Green Mountain State,274632
2022-02-10 17:39,Bibi H.,How It Is (Wap Bap...),177123
2022-02-10 17:44,BROCKHAMPTON,FABRIC,277840
2022-02-10 17:47,5 Seconds of Summer,Valentine,196628
2022-02-10 17:55,Fat Freddy's Drop,The Nod,519426
2022-02-10 17:59,Ed Sheeran,Dive,238440
2022-02-10 18:02,DJ Snake,U Are My High,180480
2022-02-10 18:05,Dennis Lloyd,Nevermind,156600
2022-02-10 18:07,Solange,I'm a Witness,111880
2022-02-10 18:11,Ed Sheeran,She,244653
2022-02-10 18:16,Boyce Avenue,Fast Car,304293
2022-02-10 18:21,Ed Sheeran,Afire Love,314280
2022-02-10 18:30,Fat Freddy's Drop,Mother Mother,539145
2022-02-10 18:34,JID,Hot Box (feat. Method Man & Joey Bada$$),291808
2022-02-10 18:37,MadeinTYO,Margiela Problems (feat. Blood Orange),187160
2022-02-10 18:40,Vulfpeck,Vulf Pack,157990
2022-02-10 18:52,MadeinTYO,Chucky Cheese,165293
2022-02-10 18:56,Jaden,Fallen,262473
2022-02-10 19:01,Ratatat,El Pico,262576
2022-02-10 19:04,Jake Miller,Party in the Penthouse,174400
2022-02-10 19:10,Robert Gass,Inner Landscapes,418906
2022-02-10 19:14,Ed Sheeran,Nina,225533
2022-02-10 19:19,KAYTRANADA,BULLETS,299000
2022-02-10 19:21,J. Cole,Intro,107160
